record_num,timestamp,open,high,low,close,buy_count,sell_count,volume,volume_delta,cumulative_volume_delta,cumulative_volume
430,2025-06-12 01:30:00,6067.50,6067.75,6067.50,6067.50,3,2,5,1,-148,8375
431,2025-06-12 01:31:00,6067.50,6067.50,6067.50,6067.50,1,0,1,1,-147,8376
432,2025-06-12 01:32:00,6067.00,6067.25,6067.00,6067.25,5,6,11,-1,-148,8387
433,2025-06-12 01:35:00,6067.25,6067.25,6067.25,6067.25,1,1,2,0,-148,8389
434,2025-06-12 01:36:00,6067.25,6067.25,6067.25,6067.25,0,1,1,-1,-149,8390
435,2025-06-12 01:37:00,6066.50,6066.50,6065.50,6066.00,2,5,7,-3,-152,8397
436,2025-06-12 01:38:00,6065.75,6065.75,6065.75,6065.75,0,2,2,-2,-154,8399
437,2025-06-12 01:39:00,6065.75,6065.75,6064.75,6064.75,1,6,7,-5,-159,8406
438,2025-06-12 01:40:00,6064.25,6064.25,6062.75,6062.75,8,3,11,5,-154,8417
439,2025-06-12 01:41:00,6063.50,6063.50,6061.50,6062.75,14,15,29,-1,-155,8446
440,2025-06-12 01:42:00,6062.75,6062.75,6062.25,6062.50,1,3,4,-2,-157,8450
441,2025-06-12 01:43:00,6062.50,6062.50,6062.00,6062.00,1,3,4,-2,-159,8454
442,2025-06-12 01:44:00,6062.50,6062.75,6060.75,6061.50,30,39,69,-9,-168,8523
443,2025-06-12 01:45:00,6061.75,6062.50,6061.50,6062.50,4,7,11,-3,-171,8534
444,2025-06-12 01:46:00,6061.75,6062.00,6061.75,6062.00,4,5,9,-1,-172,8543
445,2025-06-12 01:47:00,6062.00,6062.00,6061.25,6061.75,12,8,20,4,-168,8563
446,2025-06-12 01:48:00,6061.75,6062.00,6061.00,6062.00,19,9,28,10,-158,8591
447,2025-06-12 01:49:00,6062.00,6063.00,6062.00,6063.00,26,9,35,17,-141,8626
448,2025-06-12 01:50:00,6062.75,6064.00,6062.75,6063.00,7,7,14,0,-141,8640
449,2025-06-12 01:51:00,6063.00,6063.00,6062.50,6063.00,6,6,12,0,-141,8652
450,2025-06-12 01:52:00,6063.00,6064.25,6063.00,6063.75,14,11,25,3,-138,8677
451,2025-06-12 01:53:00,6063.75,6065.25,6063.75,6065.25,36,31,67,5,-133,8744
452,2025-06-12 01:54:00,6065.50,6066.00,6064.75,6065.50,17,21,38,-4,-137,8782
453,2025-06-12 01:55:00,6066.00,6066.00,6065.50,6065.75,6,4,10,2,-135,8792
